created_at,author,text
2022-11-20 12:39:54+00:00,JuniKudoo,"RT @racunshopee_pi: Rekomendasi barang-barang yang diperlukan saat camping/piknik

✨A thread

Rekreasi kemping peralatan kemah liburan ming…"
2022-11-20 12:39:36+00:00,irfanshahcr7,"Xleh ko PN gabung dgn PH,raso hoktu kemah skali"
2022-11-20 12:39:16+00:00,mooncvy,"@vankaaa_a @samsungID #CeritaAwesomePertama dulu pas ada kgiatan kemah di hutan. Baterai tiba2 habis auto pasrah seharian ga main hp🤧, coba aja waktu itu udh ada #GalaxyA04s yg pnya baterai 5000 mAh pasti gue ga bsen waktu itu #PastiAwesomeDuluan
#GalaxyA04s
#CeritaAwesomePertama"
2022-11-20 12:36:13+00:00,Koramil16miri1,"Serma Edy Susilo (Batuud  Koramil 03/Masaran) bersama 4 orang anggota melaksanakan kegiatan Komunikasi Sosial (Komsos) dengan kegiatan  Kemah Bantara SMKN 1 Plupuh,Kec.Plupuh, Kab.Sragen. https://t.co/8DoZ19Qupg"
2022-11-20 12:35:37+00:00,lampungtujuhcom,PKS Lampung Gelar Kemah Bhakti Nusantara Saba Desa Di Hutan Pinus https://t.co/EKArKkwmtn
2022-11-20 12:34:08+00:00,nstartiny,"@xxsanhwa Kelantan seriyes best. Makan best, kecek klate pom best, beli barang kemah pon best. 🥹 tapi tu lah kesian kek ore kampong"
2022-11-20 12:31:29+00:00,jawatankuasa,@MenteriBesarNS Tahniah Tok Min. Itu kemah tepi pantai kasi clear lah tok.somak dek eh
2022-11-20 12:26:38+00:00,treaolie,kemah 3 hari...
2022-11-20 12:24:27+00:00,aslamoii,kemah demo 3 tahun hihi https://t.co/beCNn3uoO7
2022-11-20 12:12:33+00:00,SabilaMaulida3,"@vankaaa_a @samsungID #CeritaAwesomePertama aku pas kemah bareng temen2. hasil fotonya burik2 semua huhu. coba waktu itu dah pake Galaxy A04S. pake triple camera, pasti hasilnya lebih keren #PastiAwesomeDuluan
#GalaxyA04s"
2022-11-20 11:59:41+00:00,somaykacang_,Kemah taun depan udh beda sekolah
2022-11-20 11:59:28+00:00,somaykacang_,kapan lagi ye kemah bareng lagi
2022-11-20 11:58:57+00:00,somaykacang_,Sumpah gua baru pulang udh pengen balik kemah lagi
2022-11-20 11:56:13+00:00,Muhd_Badrull,@mhmdsykr @adam_hrrs @twt_kelantan Kemah yg gorn 😂
2022-11-20 11:55:32+00:00,saufiaiman86,@MdJuEy kemah mp kawasei mu https://t.co/VEl3SNLpT8
2022-11-20 11:54:35+00:00,thekingggM,@fellfangx @k1rth1k kemah sek kito
2022-11-20 11:53:11+00:00,FaizuddinZukri,@CafiqSahari Kahkah kemah
2022-11-20 11:45:32+00:00,oreonjun_,@aegyonanaaaa sama monyet mana lg kemah inj kentut
2022-11-20 11:33:49+00:00,IsmaFaishalAmir,@adzman86 @anwaribrahim Sedapkan hati sokmo. Kemah boh
2022-11-20 11:33:48+00:00,muaz_matrahat,@Daniel93Wu Hahaha kemah demo
2022-11-20 11:29:55+00:00,haisoob1,"RT @racunshopee_pi: Rekomendasi barang-barang yang diperlukan saat camping/piknik

✨A thread

Rekreasi kemping peralatan kemah liburan ming…"
2022-11-20 11:26:15+00:00,mesemsaben,"RT @racunshopee_pi: Rekomendasi barang-barang yang diperlukan saat camping/piknik

✨A thread

Rekreasi kemping peralatan kemah liburan ming…"
2022-11-20 11:25:20+00:00,psychochann,"Tamok lagi kuaso pah tokdei tange g tungge agamo gitu jela kemah kemah. Sorry la zero respect dh, uncle ben sediri oyak dh mulo “With great power comes great responsibility”. Kalu tanggungjawab g parlimen pun tokleh gak, u dont deserve that power then💁🏻‍♂️ https://t.co/KxYDPpEqLg"
2022-11-20 11:23:00+00:00,nuram1n,@AmirulBourne kemah bon.
2022-11-20 11:20:04+00:00,sajakcivinta,"RT @racunshopee_pi: Rekomendasi barang-barang yang diperlukan saat camping/piknik

✨A thread

Rekreasi kemping peralatan kemah liburan ming…"
2022-11-20 11:19:09+00:00,vinzhagi,"@Askrlfess 2 hari wkwk pas lagi kemah di barak gitu, soalnya antri ke kamar mandinya banyak bgt keburu di marah2in jd cuma cuci muka sama sikat gigi aja 🙂🙃"
2022-11-20 11:18:51+00:00,tumbxler,"RT @racunshopee_pi: Rekomendasi barang-barang yang diperlukan saat camping/piknik

✨A thread

Rekreasi kemping peralatan kemah liburan ming…"
2022-11-20 11:16:26+00:00,kzucinga,"@Askrlfess 3 hari, karena kemah"
2022-11-20 11:14:03+00:00,cissingto,"@vankaaa_a @samsungID #CeritaAwesomePertama pas pertama kali diajakin kemah se-kabupaten dan jadi tuan rumahnya, coba ada #GalaxyA04s mah pasti bkln lebih mantap lagi tuh buat foto2 dan gak bingung memori cepet abis. Kan udah ada RAM Plus 4GB+4GB - ROM 64GB + External up to 1TB #PastiAwesomeDuluan"
2022-11-20 11:10:40+00:00,kipitloki,@AcapKymy mantap kemah boh
2022-11-20 11:09:50+00:00,hype_avabrewok,"RT @racunshopee_pi: Rekomendasi barang-barang yang diperlukan saat camping/piknik

✨A thread

Rekreasi kemping peralatan kemah liburan ming…"
2022-11-20 11:05:47+00:00,AliffOs,@bampih @pudynzayn Kemah bampih 🙏🏻👍🏻
2022-11-20 11:04:42+00:00,anothernadinn,"3 hari kemah bareng cowo act of service GILAAAA fallin in love lagi ni keknya
nice try masss aku mulai baper setetes wkwkwk"
2022-11-20 11:00:59+00:00,lunanamiami,@rahayusnugroho1 @NILLANagetsosis Yang dia inget cuma bagian kemah di lapang yang banyak anjingnya.
2022-11-20 10:58:13+00:00,AKUHEHE_,"@tanyakanrl SAMAA BGTTTT WOII, DLU WAKTU SMA TASKU GEDE BGT KYK MAU NAIK GUNUNG, TRS MASI BAWA TAS TENTENG DUA LAGIII, APALAGI KALAU PAS LAGI ADA LINTAS MINAT BIO, TRS PRAKTIKUM KE LAB HDUHHH MAKIN BNYK BAWAAN W KYK ABIS KEMAH AJ😭 tpi knp org"" bs pada kempes,mana tasnya kcil"" nan unyuuu"
2022-11-20 10:54:06+00:00,wakahda,Kangen ikut kemah disekolah 😔
2022-11-20 10:51:28+00:00,sehayana,@teahkamaruddin @mytheorem @yaayed Kemah keming
2022-11-20 10:50:21+00:00,orieont,"RT @racunshopee_pi: Rekomendasi barang-barang yang diperlukan saat camping/piknik

✨A thread

Rekreasi kemping peralatan kemah liburan ming…"
