created_at,cleaned_tweet
2020-11-06 17:06:04+00:00,kerja dmna kamu vio
2020-10-28 23:11:31+00:00,hello this account
2020-06-02 01:06:14+00:00,nothing
2019-03-14 21:06:43+00:00,saha eta teh
2019-03-08 07:50:04+00:00,cuss meet atuhh
2019-03-05 15:59:05+00:00,long time im not sign in this account
2019-03-05 15:57:09+00:00,fotoprofilbaru
2016-05-21 20:32:40+00:00,permisi maaf mengganggu saya mau tanya kenapa tombol registrasi d karir trans tv ngga bisa dibuka
2016-01-08 16:48:08+00:00,start journalist
2015-03-23 01:35:27+00:00,baru saja mengirim foto pr fm 107 5
2015-03-23 01:31:39+00:00,ive shared 39 memories with my friends on path see them now at thepersonalnetwork
2015-03-23 01:16:45+00:00,with gita at prfm radio
2015-02-19 11:54:35+00:00,hrcnoutfitterscloth disc upto20 utk mslh fashion hrcno yang tau info dan catalogue bisa chat k 5344cd85 messege me
2015-01-28 05:37:39+00:00,panggil san avi 2nya san haha iyaa atuh iyaa kapan no k sekolah kangenn avi2 yeuhh wkwk
2015-01-28 05:35:15+00:00,dejavoo entertainment proudly present dream festival a kabaret festival with unique concept 07
2015-01-28 05:23:17+00:00,edan moal san
2015-01-28 05:18:15+00:00,bjak si alfi sndiri itu mah san cieeee p follow y
2015-01-28 05:07:32+00:00,follow y
2015-01-27 07:58:28+00:00,waktu adalah pedang jika kamu bisa menggunakan dengan baik maka pasti akan membawa keberuntungan maenotes
2015-01-27 07:18:08+00:00,followed
2014-12-23 07:33:18+00:00,with feni rahma at
2014-12-21 12:45:01+00:00,sip sip makasih infonya yoww
2014-11-22 11:35:35+00:00,what are you doing guys free trade makes us to think creatively woww are you ready
2014-11-14 13:01:26+00:00,jul kmha kbrna broo haha
2014-11-11 12:05:41+00:00,yoww yow
2014-11-11 12:02:49+00:00,masih gada pulsa menn sori pisan hehe
2014-11-11 11:42:56+00:00,oyyy
2014-11-01 12:48:17+00:00,galaxian dan keluarga yang hadir disini juga diajak bernyanyi bareng tab4bettermoments
2014-10-30 13:35:22+00:00,hargai orang lain siapapun itu dan jangan pernah menaruh dendam kepada siapapun isi setiap harimu dengan kebaikan
2014-10-29 15:10:52+00:00,happy karikatur open order d 32d2be56
2014-10-29 14:58:52+00:00,aduuh ngiler liat gitar ibanez
2014-10-26 13:46:13+00:00,so kepedean is si apuy haha hehe yaa kasian weh biar ga gendok teing kmunya p
2014-10-26 13:38:20+00:00,puas tah puuyy wkwkwwk d ga ada yg nanya hehe p
2014-10-26 13:34:22+00:00,wehhh broo thank you pisan hampuranya broo urg turut brduka urg lainna poho dek kaditu ngan urg jga gatau rmah ente
2014-10-26 13:30:54+00:00,rt hbd coyyyy semoga panjang umur
