created_at,cleaned_tweet
2022-04-25 16:37:08+00:00,dear self sorry for this unhealthy sleeping routine
2022-04-22 20:37:06+00:00,wah sayangnya ulun sudah di sampit wkwkwk
2022-04-22 20:36:28+00:00,a chill jadinya achill wkwkwk
2022-04-11 10:40:05+00:00,selalu ujan deres waktu lupa sengaja gak bawa payung wkwk
2022-04-08 16:30:54+00:00,pak yusuf mansur adalah gwe
2022-04-08 16:25:48+00:00,what a relieving mindset
2022-03-30 14:24:22+00:00,dipikir pikir iya juga ya kenapa sakit atau patah hati bawaannya pengen olahraga
2022-03-28 18:15:21+00:00,dari matamu
2022-03-28 10:40:37+00:00,tapienak
2022-03-27 15:18:45+00:00,hari ini adalah hari yang sangat sangat sangatttt mengcapekkkk
2022-03-27 15:18:01+00:00,mana masa promonya sampai 2023 lagi wkwkwk bujur jua kah
2022-03-22 18:06:10+00:00,i guess my mood stated by my hair length lol
2022-03-21 03:54:45+00:00,pesan untuk fans madrid kalau mau ambil cuti sakit pagi ini masih sempet ya
2022-03-20 06:33:58+00:00,yuk baca artikel ini
2022-03-17 15:07:52+00:00,yah kotaknya tipis wkwk tau kan apa artinya
2022-03-17 15:04:29+00:00,dipikir pikir love language zenin maki keknya words of affirmation ya wkwkwk
2022-03-16 12:11:50+00:00,adalah benar
2022-03-16 12:11:33+00:00,masih di jekarda ul
2022-03-16 12:11:14+00:00,secara teknis sih gaada soalnya gaada cgv wkwkwk
2022-03-16 09:12:40+00:00,nooo kehabisan tiket collectible jjk 0
2022-03-03 17:06:47+00:00,this bash scripting courses makes me want to bash my head to the wall
2022-03-02 18:36:37+00:00,im at the state where too much staying up late affects my mental state lol
2022-03-02 05:04:12+00:00,yak ternyata masalahnya memang di earpiece bukan di device
2022-02-24 10:20:25+00:00,ya allah kenapa progress orang orang pada cepet cepet yah wkwkwk
2022-02-21 16:11:29+00:00,ketahuan gak nyimak wkwkwk
2022-02-21 07:25:55+00:00,i see youre a texting type cause same
2022-02-21 07:25:18+00:00,ay yo
2022-02-18 14:30:06+00:00,nasi goreng seratus ribu check
2022-02-18 08:31:32+00:00,semoga ke depannya bakal terus fun kek gini
2022-02-18 08:30:55+00:00,ada channel korea channel investasi channel apalah ini kok aowkaowkoakok gokil lah
2022-02-18 08:28:39+00:00,wanjer grup discord mbkm bangkit ada channel jejepangan sama channel meme terbukti kualitas sdm it indonesia suka jejepangan dan meme
2022-02-17 18:55:50+00:00,good night
2022-02-17 18:54:54+00:00,ngeri ngeri sedap juga punya temen sekelas dari its ub unair unpad udinus ug tel u undip umn um upi itb unsoed sama universitas lain
2022-02-12 21:36:39+00:00,daijobu desho
2022-01-31 15:33:38+00:00,gue benci banget sama orang tua yang gapunya responsibility dan selalu berlindung di balik kata namanya juga anak
2022-01-10 05:19:31+00:00,halo min untuk eskalator halte salemba carolus diaktifkan kembali capek naik turunnya kalo gak aktif makasih min
2022-01-10 04:40:55+00:00,lagi jajan depan sd anak sd ngejoke beli teh pucuk ama abang abang jadinya teh hyung anjirlah
2022-01-08 11:34:32+00:00,wonderful indonesia
2021-12-18 04:09:51+00:00,gk dulu nanti muncul varian baru
2021-12-18 04:09:25+00:00,depan gang ada orang jual kue love peace kirain apa ternyata kue lopis
2021-12-17 01:15:23+00:00,iya juga ya pas semester 2 datang covid pertama pas sekarang covid omicron
2021-12-16 12:38:28+00:00,cimol kentang senen masih sama rasanya pas waktu masih semester 1
2021-12-13 12:33:55+00:00,udah tau kondisinya gimana lain kali gak bakal begini
2021-12-11 05:15:19+00:00,aku suka makan tapi paling nggak suka dipaksa makan
2021-12-07 12:31:01+00:00,akhirnya merasai jua lumpia beef ni dari semalam awokaowk
2021-12-05 04:58:35+00:00,mesen janjiw pake sopipey harusnya dapet cashback 5000 koin pesanannya gagal koin hilang saldo kembali pas ngulang pake sopipey lagi ga dapet cashback soalnya udah terhitung berhasil transaksi
2021-12-01 18:42:26+00:00,cakep tapi boong
2021-11-29 14:11:11+00:00,jadi presidennya 31 tahun kemudian
2021-11-29 14:09:26+00:00,mau dong dibayarin makan sama kamu wkwkwk
2021-11-29 14:08:06+00:00,lets start over
2021-11-29 10:51:37+00:00,itu persamaan pertidaksamaan tuh lt gt
2021-11-29 10:41:13+00:00,logaritma asik euy yang gak asik tuh polinom sama pertidaksamaan wkwkwk transgeo juga gak suka gt
2021-11-27 18:40:10+00:00,kada tenang guring mun kaini kisahnya
2021-11-17 09:37:24+00:00,aliif begooo
2021-11-16 18:25:00+00:00,hit me on my d m head
2021-11-16 18:22:18+00:00,oh no cringe
2021-11-04 08:16:41+00:00,umur memang gak ada yang tau ya
2021-11-03 05:19:20+00:00,heh memang ja kelakuan
2021-11-02 17:21:06+00:00,laptop kentang mau pasang virtualbox lol
2021-11-02 12:15:58+00:00,omaigat its a corn
2021-10-30 06:45:53+00:00,udah gede kok masih nonton kartun
2021-10-30 06:45:17+00:00,kangen alm pak maslen ikutan kangen alm kakek jadinya
2021-10-27 16:23:03+00:00,saya yai kamu tau siapa lagi yang yai dedi susanto
2021-10-27 13:55:24+00:00,hendak menukar tolak angin di jalan hujan ganal yang mengira sebelumnya masuk angin limbah ini bujuran masuk angin am pinanya
2021-10-27 12:59:08+00:00,malu maluin astaghfirullah wkwkwk
2021-10-26 09:48:46+00:00,alhamdulillah aku broken home tapi ga sampe bundir
2021-10-26 07:34:06+00:00,pesan kek ginian muncul tepat setelah menyakiti perasaan seseorang kena teguran langsung
2021-10-23 14:57:07+00:00,suatu rekor seorang aliif menggunakan alat tulis sampai habis
2021-10-17 04:36:10+00:00,sampai kebawa mimpi wkwkwk
2021-10-08 13:56:09+00:00,sampai am umurnya wkwkwk
2021-10-08 01:25:28+00:00,ini enak you should try these yum yum
2021-10-04 15:57:14+00:00,mengsedih
2021-10-04 15:52:58+00:00,season 2
2021-10-01 13:23:12+00:00,ya allah mengapa kampus hamba tidak menyediakan email mahasiswa
2021-09-30 14:18:19+00:00,bikin reminder gini padahal baru mau mulai ngerjain kerjaan
2021-09-29 16:17:11+00:00,masih 43 menit lagi sih di sini hehe
2021-09-29 01:13:51+00:00,kaget uh
2021-09-28 15:36:08+00:00,bersedih adalah rutinitas tiap malam
2021-09-28 15:35:46+00:00,seumur kuliah ga pernah disuruh bikin tugas makalah semester ini baru kuliah seminggu udah dikasih 3
2021-09-27 09:03:40+00:00,isuk am nukar donat ke kobes lagi donat pendawa nyaman banar
2021-09-26 16:05:32+00:00,masih nggak percaya course ini masih gratis sampe hari ini salah satu yg menurut aku bagus banget untuk yang mau coba coba
2021-09-26 16:03:51+00:00,kinda proud of this one
2021-09-26 16:02:50+00:00,polinomial transformasi geometri integral parsial frick you
2021-09-26 16:01:41+00:00,pardon my cheesy joke lol
2021-09-25 14:54:39+00:00,2in
2021-09-25 10:26:07+00:00,i dont mind being alone but feeling alone hits different somehow
