created_at,cleaned_tweet
2022-06-01 16:12:25+00:00,masih on aja lagi ka matur suwun ka ernest semoga aku ga stop belajar dan mencoba see u soon
2022-06-01 16:04:43+00:00,ya ampun heboh banget katanya ka ernest ngomongin aku waw terima kasih sekali lagi ka ernest udah sempetin nonton kkn
2022-06-01 14:46:48+00:00,weeh ko punya saya sendiri ga punya loh
2022-05-30 15:22:40+00:00,wah wah wah
2022-05-30 12:04:04+00:00,setujuuu
2022-05-30 12:03:37+00:00,yakaaann
2022-05-26 19:16:39+00:00,gilleeeeee
2022-05-25 10:27:06+00:00,halloween tahun ini kira kira ada yang jadi badarawuhi ga yaa
2022-05-24 17:32:50+00:00,cihuy
2022-05-22 14:39:06+00:00,kenapa sih ada aja masalahnya raya
2022-05-22 12:09:30+00:00,maaci udah nonton
2022-05-22 02:05:24+00:00,sampai bertemu sore ini
2022-05-20 20:17:38+00:00,tiba tiba di ingatkan untuk bersyukur hari ini sudah belum
2022-05-20 19:50:14+00:00,waaahh jadi semangat
2022-05-20 12:41:12+00:00,luvv sekali
2022-05-20 12:40:37+00:00,bukan musim hujan tapi
2022-05-20 12:39:11+00:00,wiuu wiuuuu wiuu
2022-05-20 12:37:22+00:00,thank you
2022-05-20 11:47:36+00:00,terharu banget deh
2022-05-20 11:46:46+00:00,haha gemes wibuuu
2022-05-20 11:44:22+00:00,masa siii makasi looh
2022-05-16 08:41:43+00:00,siap merapat ke antv yu sore ini
2022-05-16 08:40:37+00:00,sa ae nii
2022-05-16 08:40:21+00:00,dengerin nya malem malem yaa
2022-05-16 08:40:10+00:00,gemesss
2022-05-16 08:39:17+00:00,siaangg
2022-05-13 19:45:08+00:00,lokasi baru energi baru bissmillah kekasihhalalantv
2022-05-11 14:15:48+00:00,besok monton lagi yaa
2022-05-11 14:14:57+00:00,yah maaf
2022-05-10 17:59:16+00:00,aaaamin yaa
2022-05-10 17:59:01+00:00,nyaw
2022-05-10 09:15:45+00:00,nostalgiakkn
2022-05-10 09:10:21+00:00,temen temen merapat ke antv yu kenalan sama raya di sinetron kekasih halal
2022-05-09 18:59:53+00:00,alhamdulillah ya allah nemu kasur
2022-05-09 12:52:48+00:00,udahan dong besok ketemu rayya lagi jam 3 30 di antv yaaa
2022-05-09 12:51:32+00:00,keren banget ini yaampun angkatan berapa nostalgiakkn
2022-05-09 12:14:22+00:00,senin sibukkk senin waktunya tayang perdana kekasihhalal01
2022-05-09 12:13:47+00:00,cihuyy
2022-05-09 11:52:36+00:00,jangan sampai ketinggalan tayangan perdana nya ya guys kekasih halal hari ini pukul 15 30 wib hanya di antv veronap
2022-05-09 11:52:19+00:00,bissmillah semoga bisa menghibur temen temen yaa setiap hari di antv sinetron kekasih halal jam 15 30 luv
2022-05-09 11:47:23+00:00,temen temen terima kasih dukungan nya untuk film indonesia
2022-05-09 06:39:49+00:00,seru kk di kampus jadi kangen masa kuliah
2022-05-09 06:38:58+00:00,sa ae bambang
2022-05-09 06:38:44+00:00,wiii seru gini ramean ayo pada reunian nonton kkn
2022-05-08 23:55:58+00:00,wah sehat sehat ya jiwa raganya
2022-05-08 23:54:58+00:00,lol
2022-05-08 13:33:15+00:00,coba tunjukin foto dengan geng kkn kalian tag aku disini atau di instagram pake nostalgiakkn
2022-05-08 13:31:14+00:00,seru ramean gitu
2022-05-08 10:33:04+00:00,aku pengen banget liat kekompakan geng kkn kalian coba tag aku ya tunjukin mana geng kkn kamu
2022-05-08 04:55:59+00:00,beauty of mother nature
2022-05-08 04:55:07+00:00,haha sabar lagi aku siapkan banyak hal baru
2022-05-07 21:33:13+00:00,gara gara minum kopi
2022-05-07 18:35:22+00:00,duuuuuuuhhhh sama lagi
2022-05-07 18:33:29+00:00,nonton film horor tapi gembira
2022-05-07 04:12:23+00:00,lagi musim radang kayanya ya jangan kinum es di siang hari ya
2022-05-06 14:53:48+00:00,makasih loh
2022-05-06 14:52:38+00:00,yihii
2022-05-06 14:08:45+00:00,maafin
2022-05-06 13:11:48+00:00,please pa jangan bilang bilang nanti banyak yang sadar
2022-05-06 09:43:22+00:00,dalam 6 hari 2 010 137 orang sudah bertemu badarawuhi terima kasih untuk seluruh penonton yang sudah mendukung film kkn d
2022-05-06 09:43:17+00:00,happy birthday terima kasih sudah menjadi sosok anton di film kkn di desa penari kalian sudah bertemu anto
2022-05-06 09:43:01+00:00,ngeri widya seketika merinding saat pertama kali mendengar alunan sinden dhat kkndidesapenari pichousefilms mdpicture
2022-05-06 09:42:04+00:00,malu
2022-05-06 09:41:44+00:00,isi pikiranku tolong
2022-05-06 09:40:41+00:00,udah kenalan sama widya ya
2022-05-06 09:40:22+00:00,makasih yaa
2022-05-06 09:40:04+00:00,ya aku si sudah terbiasa dengan ular teteppanik
2022-05-06 09:37:30+00:00,makasih udah kenalan sama widya
2022-05-06 09:35:36+00:00,matur suwun
2022-05-06 09:35:07+00:00,naluri
2022-05-06 09:32:09+00:00,neeeeeciii thank you
2022-05-05 12:10:37+00:00,beberapa gangguan makhluk halus yang pernah dialami oleh pemain kkn di desa penari kalian juga pernah mengalaminya badaraw
2022-05-04 13:01:00+00:00,makasih yaa
2022-05-04 12:59:43+00:00,loh ada vira
2022-05-04 12:58:58+00:00,langsung sat set tgl 30 kmren horornya ga lebay krn base true story mungkin ya
2022-05-04 07:05:49+00:00,karna banyak temen temen yang belum nonton supaya tidak spoiler mulai hari ini aku akan akan lebih picky untuk repost yaa
2022-05-03 10:50:35+00:00,kenapa aku
2022-05-03 10:03:16+00:00,satu juta orang sudah pergi kkn ke desa penari terima kasih temen temen terharu deh rasanya
2022-05-03 10:02:09+00:00,tengkiuu
2022-05-03 10:01:50+00:00,main main ke kanal youtube aku dulu gih
