created_at,author,cleaned_tweet
2022-10-18 15:55:45+00:00,dippooyy,partner ghibah main dan kuliner terbaik memanglah ayang
2022-10-18 15:55:13+00:00,kopisacheeet,jgn lupa kuliner malam
2022-10-18 15:54:54+00:00,sucieka310,partner ghibah main dan kuliner terbaik memanglah ayang
2022-10-18 15:54:41+00:00,itssnurulshelaa,partner ghibah main dan kuliner terbaik memanglah ayang
2022-10-18 15:54:02+00:00,gagalganteng,partner ghibah main dan kuliner terbaik memanglah ayang
2022-10-18 15:52:32+00:00,newbaby8_,partner ghibah main dan kuliner terbaik memanglah ayang
2022-10-18 15:52:16+00:00,yourflobby,partner ghibah main dan kuliner terbaik memanglah ayang
2022-10-18 15:50:06+00:00,peIafngi,partner ghibah main dan kuliner terbaik memanglah ayang
2022-10-18 15:49:45+00:00,Raquiilaa,partner ghibah main dan kuliner terbaik memanglah ayang
2022-10-18 15:49:24+00:00,disforus,partner ghibah main dan kuliner terbaik memanglah ayang
2022-10-18 15:48:14+00:00,samgyeopshal,temennya usaha kuliner
2022-10-18 15:47:07+00:00,patteala11,manyun lagi seneng kuliner itali yah hehe
2022-10-18 15:46:29+00:00,ci_mutiasari17,partner ghibah main dan kuliner terbaik memanglah ayang
2022-10-18 15:46:18+00:00,Cinneamonbun,gak nyambung sih tapi maksudnya ini bubat jadi rame spot kuliner banget makin kesini makin macet
2022-10-18 15:45:22+00:00,mardybumsz,dari komunikasi ke kuliner jauh banget ya
2022-10-18 15:44:54+00:00,lalangetweet,partner ghibah main dan kuliner terbaik memanglah ayang
2022-10-18 15:43:48+00:00,02archived,partner ghibah main dan kuliner terbaik memanglah ayang
2022-10-18 15:42:50+00:00,rendykaremamen,ketika membeli makanan kita tidak hanya membeli rasanya tapi juga cerita budaya dan tradisinya kisarasa eps in
2022-10-18 15:41:49+00:00,hlenvn,partner ghibah main dan kuliner terbaik memanglah ayang
2022-10-18 15:40:24+00:00,renram789,selamat hari jadi ke 3 tahun sayangku terimakasih udah jadi patner berantem debat saingan gym kuliner jal
2022-10-18 15:40:05+00:00,Keyshazlf,partner ghibah main dan kuliner terbaik memanglah ayang
2022-10-18 15:39:44+00:00,Ruswand52798788,beras konsumsi 30 juta ton pertahun disini bayangkan berapa warteg dan resto di tanah air yg mengandalkan beras sbg bahan baku belum lagi kuliner modren yg menggunakan jasa delivery online maka stok harus aman dan melimpah ubi jg oke
