created_at,cleaned_tweet
2020-05-15 11:36:07+00:00,kecut
2020-05-15 11:05:05+00:00,njelei to
2020-05-15 11:04:57+00:00,piksss
2020-05-15 11:04:49+00:00,skip lah
2020-05-15 11:04:38+00:00,auto skip
2020-05-15 02:08:53+00:00,cantik sih tapi bio ig nya follback dm wkwk
2020-05-13 16:19:15+00:00,gatel eg
2020-05-13 16:06:02+00:00,mbok agendakan cek
2020-05-10 21:29:17+00:00,mirror selfie ditutup pakek casing biar ga keliatan ip6 wkwk
2020-05-05 16:17:14+00:00,ayo
2020-05-05 16:15:49+00:00,ramikir
2020-05-04 13:27:56+00:00,oke sat
2020-05-02 08:09:06+00:00,chill
2020-05-02 04:52:46+00:00,modar
2020-05-02 04:52:12+00:00,dan autis
2020-05-01 09:27:50+00:00,wah mberuh ndut
2020-05-01 09:27:14+00:00,wejiann
2020-04-28 21:14:42+00:00,yetno
2020-04-27 15:37:21+00:00,hoo wes ndelok
2020-04-26 03:38:32+00:00,hmm boleh
2020-04-22 16:52:44+00:00,ha blasss
2020-04-22 13:27:39+00:00,hoo ya
2020-04-22 13:27:21+00:00,hmm
2020-04-22 13:26:58+00:00,ah bajingan
2020-04-22 11:49:03+00:00,edan po nek lanang
2020-04-22 11:47:04+00:00,iya eg
2020-04-22 11:36:02+00:00,temenku bukan mantan pacarku
2020-04-22 11:34:42+00:00,aku yo wes tau mot asu encenan
2020-04-21 03:30:13+00:00,matane
2020-04-18 15:37:26+00:00,modar su
2020-04-18 08:47:23+00:00,wah ha ng kelas ae badeg e wes pol og
2020-04-18 05:48:48+00:00,jelek kalo itu
2020-04-18 05:45:56+00:00,mataneeee
2020-04-14 04:55:00+00:00,pjro to
2020-04-12 12:43:44+00:00,twitter for iphone asuk
2020-04-12 12:42:19+00:00,karo ngulat paling ya
2020-04-12 12:41:54+00:00,nggolek ng facebook
2020-04-12 04:46:21+00:00,hahaha
2020-04-11 11:29:23+00:00,dee yo hoo
2020-04-11 10:13:15+00:00,tnn sikak
2020-04-11 10:13:07+00:00,yang penting dompete to bro
2020-04-11 06:42:12+00:00,gilaaa
2020-04-11 04:38:21+00:00,ngombe to
2020-04-07 06:51:15+00:00,cocoteeee
2020-04-07 06:50:10+00:00,kampleng ae
2020-04-07 06:49:53+00:00,paham
2020-04-06 18:11:17+00:00,sopo to
2020-04-06 17:56:29+00:00,siapa hayoo
2020-04-06 16:56:40+00:00,opo hayoo
2020-04-06 15:39:07+00:00,sok yes de
2020-04-06 11:30:18+00:00,when she didi kempot
2020-04-06 11:27:06+00:00,la ndasmu wii
2020-04-05 15:38:21+00:00,ha gasss elpiji
2020-04-05 15:36:25+00:00,penak ya koyone
2020-04-05 15:28:31+00:00,pakake lele ae
2020-04-05 07:31:10+00:00,polll
2020-04-05 05:36:21+00:00,kapan
2020-04-05 04:59:23+00:00,ha ga chill blasss
2020-04-05 04:59:13+00:00,ko dee
2020-04-05 04:58:59+00:00,bisa dibilang gitu
2020-04-04 15:36:51+00:00,oh hoo nee anak pakpunk
2020-04-04 14:10:03+00:00,nek badeg rak enak
2020-04-04 14:09:51+00:00,nek badeg yo gah
2020-04-04 11:50:53+00:00,nahh kui
2020-04-04 11:48:59+00:00,jebul ora kui tok
2020-04-04 06:10:04+00:00,step mom family stroke
2020-04-02 10:05:30+00:00,goblok ndase
2020-04-02 03:48:08+00:00,oh kei ndes
2020-04-01 13:59:08+00:00,aminn
2020-03-29 11:44:31+00:00,di iclik ae
2020-03-29 11:43:24+00:00,di like rangerti di like to asu og
2020-03-29 11:42:57+00:00,hek
