created_at,author,cleaned_tweet
2022-11-20 14:34:15+00:00,PempekJOERAGAN,kuliner pempek paling ajip mantap enaak sekaliiii nih sekali coba pasti suka pempekjoeragan pempekjoeragan
2022-11-20 14:32:01+00:00,widiarnitanti,nanti ajak gue kuliner an di bandung
2022-11-20 14:31:39+00:00,BaksoJOERAGAN,ingin punya usaha kuliner joeragan rasa paling dicari dijamin diburu pembeli yuk join kemitraan kami skrg
2022-11-20 14:30:53+00:00,Syamsud76579252,kuliner nasi liwet di kartasura tidak jauh dari arena muhammadiyah muktamar48 aisyiyah
2022-11-20 14:30:27+00:00,imyo_ursun,kalo ke jogja setelah kenyang berburu kuliner terus mau nyari tempat yang nyeni mending mampir ke lokasi lokasi au atelier
2022-11-20 14:29:12+00:00,lenticoular,kuliner kampus bara dan sekitarnya a thread
2022-11-20 14:27:39+00:00,abu_bakar_id,sudah jadi agenda wajib untuk menyisihkan waktu kulineran di saat bro keliling indonesia itu juga yang ter
2022-11-20 14:26:17+00:00,tetanita,kuliner semarang 1 bakmi jowo pak h sukimin depan pdam kelud raya impulsif padahal udah makan di a amp w tadi di bandara
2022-11-20 14:25:52+00:00,bediampang,kalo ke jogja setelah kenyang berburu kuliner terus mau nyari tempat yang nyeni mending mampir ke lokasi lokasi au atelier
2022-11-20 14:25:43+00:00,ajengmaul,lagi ada festival kuliner jajanan pedas di itc bsd serpong tangerang selatan yang berlangsung sampai 19 desember 2022
2022-11-20 14:25:26+00:00,lstrrdwi,sst rekomendasi ini semuanya anti gagal bisa jadi contekan tempat kuliner
2022-11-20 14:24:52+00:00,boedd,niiiiiiih kuliner solo yhaaaaa
2022-11-20 14:24:50+00:00,Avizenazen86,pengen tahu warung hidden gem alias yang makanannya enak dan belum banyak yang tahu ternyata ada banyak hidden gem kuliner di seputar jakarta yuk baca ulasannya di sini paketinternetcepat
2022-11-20 14:24:33+00:00,tetanita,kuliner semarang soto ayam dargo pak wito nasi ayam bu mar nasi goreng babat andik nasi pecel mataram tara
2022-11-20 14:23:47+00:00,kindlyblessed,bahaya ieu wrlk mah apal semua destinasi kuliner kieu
2022-11-20 14:23:32+00:00,HoofdbureauID,kuliner nasi liwet di kartasura tidak jauh dari arena muhammadiyah muktamar48 aisyiyah
2022-11-20 14:23:23+00:00,fikrihz85,b shopee pay 5juta untuk digunakan usaha kuliner dikarenakan bentar lagi saya resign
2022-11-20 14:22:47+00:00,tetanita,kuliner di semarang yang nggak itu itu aja a thread dari warlok
2022-11-20 14:21:43+00:00,idbcpr,ini dia kuliner korea selatan wajib coba
2022-11-20 14:18:45+00:00,__itsonlyjune,sst rekomendasi ini semuanya anti gagal bisa jadi contekan tempat kuliner
2022-11-20 14:18:06+00:00,maketopi,kuliner di jakarta yg enak dimana
2022-11-20 14:13:49+00:00,AboutTNG,lagi ada festival kuliner jajanan pedas di itc bsd serpong tangerang selatan yang berlangsung sampai 19 desember 2022
2022-11-20 14:11:34+00:00,lovelypetunia,kalo ke jogja setelah kenyang berburu kuliner terus mau nyari tempat yang nyeni mending mampir ke lokasi lokasi au atelier
